date,state,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth,deaths_total,deaths_total_per100k,deaths_avg_week,deaths_avg_week_per100k,deaths_week_growth
2020-01-21,Washington,1,0.013,NA,NA,NA,0,0,NA,NA,NA
2020-01-22,Washington,1,0.013,NA,NA,NA,0,0,NA,NA,NA
2020-01-23,Washington,1,0.013,NA,NA,NA,0,0,NA,NA,NA
2020-01-24,Illinois,1,0.008,NA,NA,NA,0,0,NA,NA,NA
2020-01-24,Washington,1,0.013,NA,NA,NA,0,0,NA,NA,NA
2020-01-25,California,1,0.003,NA,NA,NA,0,0,NA,NA,NA
2020-01-25,Illinois,1,0.008,NA,NA,NA,0,0,NA,NA,NA
2020-01-25,Washington,1,0.013,NA,NA,NA,0,0,NA,NA,NA
2020-01-26,Arizona,1,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-01-26,California,2,0.005,NA,NA,NA,0,0,NA,NA,NA
2020-01-26,Illinois,1,0.008,NA,NA,NA,0,0,NA,NA,NA
2020-01-26,Washington,1,0.013,NA,NA,NA,0,0,NA,NA,NA
2020-01-27,Arizona,1,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-01-27,California,2,0.005,NA,NA,NA,0,0,NA,NA,NA
2020-01-27,Illinois,1,0.008,NA,NA,NA,0,0,NA,NA,NA
2020-01-27,Washington,1,0.013,NA,NA,NA,0,0,NA,NA,NA
2020-01-28,Arizona,1,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-01-28,California,2,0.005,NA,NA,NA,0,0,NA,NA,NA
2020-01-28,Illinois,1,0.008,NA,NA,NA,0,0,NA,NA,NA
2020-01-28,Washington,1,0.013,0,0,NA,0,0,0,0,NA
2020-01-29,Arizona,1,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-01-29,California,2,0.005,NA,NA,NA,0,0,NA,NA,NA
2020-01-29,Illinois,1,0.008,NA,NA,NA,0,0,NA,NA,NA
2020-01-29,Washington,1,0.013,0,0,NA,0,0,0,0,NA
2020-01-30,Arizona,1,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-01-30,California,2,0.005,NA,NA,NA,0,0,NA,NA,NA
2020-01-30,Illinois,2,0.016,NA,NA,NA,0,0,NA,NA,NA
2020-01-30,Washington,1,0.013,0,0,NA,0,0,0,0,NA
2020-01-31,Arizona,1,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-01-31,California,3,0.008,NA,NA,NA,0,0,NA,NA,NA
2020-01-31,Illinois,2,0.016,0.14285714285714285,0.001,NA,0,0,0,0,NA
2020-01-31,Washington,1,0.013,0,0,NA,0,0,0,0,NA
2020-02-01,Arizona,1,0.014,NA,NA,NA,0,0,NA,NA,NA
2020-02-01,California,3,0.008,0.2857142857142857,0.001,NA,0,0,0,0,NA
2020-02-01,Illinois,2,0.016,0.14285714285714285,0.001,NA,0,0,0,0,NA
2020-02-01,Massachusetts,1,0.015,NA,NA,NA,0,0,NA,NA,NA
